"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"DisableRebalancing_5_timestep1min_rep10"
"11/24/2018 15:01:18:289 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_drop","duration_to_pick","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"1","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1410","840","168"
"2","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1725","807","168"
"3","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1524","707","168"
"4","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1544","848","168"
"5","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1560","580","168"
"6","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1411","729","168"
"7","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1301","773","168"
"8","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1304","818","168"
"9","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1445","776","168"
"10","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1818","932","168"
"11","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1555","970","168"
"12","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1368","840","168"
"13","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1443","1004","168"
"14","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1400","761","168"
"15","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1480","704","168"
"16","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1585","901","168"
"17","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","2168","1265","168"
"18","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1556","819","168"
"19","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1589","872","168"
"20","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1547","847","168"
"21","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1585","855","168"
"22","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1473","924","168"
"23","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1581","885","168"
"24","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1536","1030","168"
"25","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1459","876","168"
"26","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1846","1053","168"
"27","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1478","967","168"
"28","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1684","936","168"
"29","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1272","634","168"
"30","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1516","847","168"
"31","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1461","932","168"
"32","1","2","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1343","704","168"
"33","1","3","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1258","682","168"
"34","1","4","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1431","909","168"
"35","1","5","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1461","720","168"
"36","1","1","5","5","20","0.27","false","Disable","0.05","50","50","Asynchronized","3","7","10078","1370","680","168"
