"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Forecast-based_5_timestep1min_rep10"
"11/23/2018 22:03:50:689 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_drop","duration_to_pick","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"1","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1454","835","168"
"2","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1598","797","168"
"3","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1808","1111","168"
"4","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1803","874","168"
"5","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1522","709","168"
"6","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1489","723","168"
"7","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1483","779","168"
"8","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1474","597","168"
"9","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1547","869","168"
"10","1","1","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1539","902","168"
"11","1","2","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1470","689","168"
"12","1","2","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1209","684","168"
"13","1","2","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1380","733","168"
"14","1","2","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1479","806","168"
"15","1","2","5","5","20","0.27","false","Forecast-based","0.05","50","50","Asynchronized","3","7","10078","1337","665","168"
