"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_20_timestep1min_rep10"
"11/24/2018 20:38:39:036 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_move","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"1","1","1","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","696","185","168"
"2","1","2","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","240","22","168"
"3","1","3","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","102","11","168"
"4","1","4","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","63","13","168"
"5","1","5","5","5","20","0.27","false","Status-based","0.05","10","Asynchronized","3","7","10078","45","8","168"
"6","1","1","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","521","87","168"
"7","1","2","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","118","6","168"
"8","1","3","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","62","9","168"
"9","1","4","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","60","13","168"
"10","1","5","5","5","20","0.27","false","Status-based","0.05","20","Asynchronized","3","7","10078","55","2","168"
"11","1","1","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","405","50","168"
"12","1","2","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","118","9","168"
"13","1","3","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","150","7","168"
"14","1","4","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","129","25","168"
"15","1","5","5","5","20","0.27","false","Status-based","0.05","30","Asynchronized","3","7","10078","179","19","168"
"16","1","1","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","412","40","168"
"17","1","2","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","164","34","168"
"18","1","3","5","5","20","0.27","false","Status-based","0.05","40","Asynchronized","3","7","10078","149","33","168"
