"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_45_timestep1min_rep10"
"11/23/2018 15:44:55:639 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"1","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","416","83","168"
"2","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","511","69","168"
"3","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","489","58","168"
"4","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","568","73","168"
"5","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","400","66","168"
"6","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","324","79","168"
"7","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","475","52","168"
"8","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","380","72","168"
"9","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","391","68","168"
"10","1","1","5","5","20","0.27","false","Status-based","0.05","30","30","Asynchronized","3","7","10078","407","100","168"
"11","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","493","62","168"
"12","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","435","51","168"
"13","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","407","52","168"
"14","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","467","46","168"
"15","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","403","65","168"
"16","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","450","90","168"
"17","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","459","66","168"
"18","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","455","73","168"
"19","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","467","58","168"
"20","1","1","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","564","44","168"
"21","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","493","58","168"
"22","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","422","102","168"
"23","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","444","52","168"
"24","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","512","56","168"
"25","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","425","58","168"
"26","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","546","50","168"
"27","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","490","59","168"
"28","1","1","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","477","62","168"
