[run number],sim_timestep_minutes,num_trucks,duration_to_pick,duration_to_drop,truck_capacity,truck_speed,wait_for_demo?,rebalancing_method,wait_time,pct_station_capacity_to_drop,pct_station_capacity_to_pick,truck_movement,shortage_threshold,days_to_simulate,[step],simulated_out_of_bikes_count,simulated_out_of_docks_count,sim_elapsed_hours
1,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,313,44,168
2,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,127,18,168
3,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,114,10,168
4,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,165,19,168
5,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,155,20,168
6,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,282,45,168
7,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,129,15,168
8,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,133,30,168
9,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,114,19,168
10,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,144,20,168
11,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,306,51,168
12,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,106,12,168
13,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,133,12,168
14,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,159,13,168
15,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,125,25,168
16,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,378,36,168
17,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,277,13,168
18,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,211,7,168
19,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,202,17,168
20,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,310,10,168
21,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,409,79,168
22,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,251,42,168
23,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,281,58,168
24,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,330,92,168
25,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,311,99,168
26,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,407,75,168
27,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,318,46,168
28,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,227,67,168
29,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,269,110,168
30,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,354,106,168
31,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,321,41,168
32,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,131,18,168
33,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,200,8,168
34,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,197,10,168
35,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,323,9,168
36,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,483,62,168
37,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,452,64,168
38,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,454,71,168
39,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,527,94,168
40,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,70.0,Asynchronized,3,7,10078,610,88,168
41,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,743,148,168
42,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,657,86,168
43,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,535,149,168
44,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,562,145,168
45,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,70.0,Asynchronized,3,7,10078,734,220,168
46,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,298,38,168
47,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,159,13,168
48,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,107,12,168
49,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,144,13,168
50,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,143,15,168
51,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,325,38,168
52,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,140,20,168
53,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,93,21,168
54,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,113,25,168
55,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,160,19,168
56,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,406,54,168
57,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,139,16,168
58,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,140,14,168
59,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,131,12,168
60,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,174,10,168
61,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,372,42,168
62,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,206,17,168
63,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,191,15,168
64,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,266,9,168
65,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,270,12,168
66,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,487,57,168
67,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,270,26,168
