station_id,hour,Forecast
3,0,0.27
3,1,-0.10
3,2,0.00
3,3,0.20
3,4,0.03
3,5,-0.07
3,6,-0.10
3,7,0.13
3,8,0.43
3,9,1.10
3,10,0.40
3,11,-0.10
3,12,0.23
3,13,0.10
3,14,-0.93
3,15,-0.20
3,16,-1.30
3,17,-0.40
3,18,-0.43
3,19,-0.13
3,20,-0.20
3,21,-0.40
3,22,-0.03
3,23,0.17
4,0,-0.17
4,1,0.00
4,2,-0.23
4,3,0.07
4,4,-0.03
4,5,-0.10
4,6,-1.80
4,7,-1.97
4,8,-3.00
4,9,-0.30
4,10,-0.07
4,11,-0.10
4,12,0.13
4,13,-0.60
4,14,-0.17
4,15,0.13
4,16,0.57
4,17,3.53
4,18,2.80
4,19,0.93
4,20,0.07
4,21,-0.33
4,22,0.73
4,23,-0.03
5,0,0.40
5,1,0.40
5,2,0.47
5,3,0.17
5,4,0.20
5,5,0.07
5,6,0.13
5,7,0.63
5,8,1.00
5,9,0.47
5,10,0.63
5,11,0.87
5,12,-0.50
5,13,0.67
5,14,0.07
5,15,-0.30
5,16,-0.73
5,17,-0.97
5,18,-0.60
5,19,-0.33
5,20,-0.83
5,21,0.13
5,22,0.03
5,23,0.20
6,0,0.07
6,1,-0.30
6,2,-0.13
6,3,0.07
6,4,0.03
6,5,-0.17
6,6,-1.30
6,7,-0.93
6,8,-0.93
6,9,-1.60
6,10,0.07
6,11,-0.17
6,12,0.40
6,13,0.43
6,14,0.50
6,15,0.27
6,16,0.57
6,17,1.07
6,18,0.20
6,19,0.77
6,20,1.70
6,21,0.33
6,22,0.67
6,23,-0.03
7,0,0.03
7,1,0.00
7,2,-0.07
7,3,0.00
7,4,0.00
7,5,0.00
7,6,0.07
7,7,0.63
7,8,2.73
7,9,0.80
7,10,0.50
7,11,-0.30
7,12,0.33
7,13,-0.63
7,14,0.23
7,15,-0.40
7,16,-1.20
7,17,-2.23
7,18,-0.70
7,19,-0.43
7,20,-0.40
7,21,-0.17
7,22,-0.23
7,23,-0.10
8,0,-0.16
8,1,0.00
8,2,-0.10
8,3,0.00
8,4,-0.10
8,5,-0.07
8,6,-0.23
8,7,-0.90
8,8,-1.00
8,9,-0.77
8,10,-0.27
8,11,-0.20
8,12,-0.13
8,13,-0.40
8,14,-0.20
8,15,0.83
8,16,0.50
8,17,0.40
8,18,1.40
8,19,0.60
8,20,0.53
8,21,0.27
8,22,0.20
8,23,0.07
9,0,0.07
9,1,-0.13
9,2,0.13
9,3,-0.03
9,4,0.00
9,5,-0.07
9,6,0.50
9,7,0.40
9,8,0.77
9,9,0.50
9,10,0.53
9,11,-0.23
9,12,0.03
9,13,-1.10
9,14,0.10
9,15,-0.47
9,16,0.20
9,17,-0.13
9,18,1.10
9,19,0.23
9,20,0.50
9,21,-0.13
9,22,-0.47
9,23,-0.07
10,0,-0.23
10,1,0.00
10,2,-0.07
10,3,0.13
10,4,-0.07
10,5,-0.03
10,6,0.13
10,7,0.80
10,8,2.33
10,9,3.03
10,10,0.93
10,11,1.00
10,12,-0.53
10,13,-0.30
10,14,-0.07
10,15,-1.20
10,16,-2.03
10,17,-1.07
10,18,-1.10
10,19,0.20
10,20,-0.53
10,21,-0.10
10,22,-0.53
10,23,-0.30
11,0,-0.23
11,1,-0.10
11,2,-0.07
11,3,-0.07
11,4,-0.07
11,5,0.13
11,6,1.73
11,7,2.93
11,8,2.93
11,9,1.10
11,10,0.53
11,11,-0.17
11,12,-0.13
11,13,0.10
11,14,-0.43
11,15,-1.13
11,16,-2.00
11,17,-4.37
11,18,-1.67
11,19,-0.47
11,20,-0.53
11,21,-0.13
11,22,-0.23
11,23,-0.13
12,0,0.17
12,1,0.03
12,2,0.17
12,3,-0.13
12,4,0.10
12,5,-0.10
12,6,-0.13
12,7,0.23
12,8,-0.07
12,9,-0.57
12,10,0.17
12,11,-0.40
12,12,0.13
12,13,0.43
12,14,0.37
12,15,0.40
12,16,0.00
12,17,0.47
12,18,0.17
12,19,-0.13
12,20,0.10
12,21,0.30
12,22,0.07
12,23,-0.23
13,0,0.23
13,1,0.03
13,2,0.07
13,3,0.03
13,4,0.00
13,5,0.17
13,6,0.23
13,7,0.70
13,8,0.23
13,9,0.03
13,10,-0.23
13,11,-0.20
13,12,-0.17
13,13,0.40
13,14,-0.10
13,15,0.13
13,16,-1.53
13,17,0.57
13,18,0.00
13,19,0.27
13,20,0.47
13,21,0.07
13,22,0.43
13,23,0.20
14,0,-0.03
14,1,-0.10
14,2,-0.07
14,3,-0.07
14,4,0.00
14,5,0.00
14,6,1.27
14,7,2.77
14,8,3.43
14,9,2.53
14,10,1.07
14,11,0.07
14,12,-0.43
14,13,0.30
14,14,-0.47
14,15,-2.03
14,16,-2.30
14,17,-4.07
14,18,-2.23
14,19,-1.40
14,20,-0.70
14,21,-0.53
14,22,-0.23
14,23,-0.07
15,0,0.10
15,1,0.10
15,2,0.00
15,3,0.00
15,4,0.00
15,5,0.10
15,6,0.00
15,7,-0.30
15,8,-0.30
15,9,0.03
15,10,-0.13
15,11,-0.23
15,12,0.10
15,13,0.00
15,14,-0.03
15,15,0.07
15,16,-0.03
15,17,-0.07
15,18,0.63
15,19,0.57
15,20,0.20
15,21,0.23
15,22,0.03
15,23,0.00
16,0,0.03
16,1,-0.30
16,2,-0.33
16,3,0.13
16,4,0.07
16,5,0.53
16,6,-0.13
16,7,-3.47
16,8,-1.13
16,9,0.70
16,10,-0.60
16,11,0.67
16,12,0.13
16,13,-1.20
16,14,0.27
16,15,0.30
16,16,1.03
16,17,1.43
16,18,-0.27
16,19,0.20
16,20,-0.77
16,21,0.23
16,22,0.70
16,23,0.57
17,0,0.10
17,1,0.17
17,2,0.20
17,3,0.03
17,4,0.00
17,5,0.00
17,6,-0.10
17,7,0.33
17,8,0.13
17,9,-0.50
17,10,-0.50
17,11,-1.13
17,12,-0.27
17,13,-0.20
17,14,-0.77
17,15,0.47
17,16,-0.13
17,17,-0.23
17,18,0.40
17,19,0.90
17,20,0.07
17,21,0.60
17,22,0.10
17,23,0.27
18,0,0.26
18,1,0.30
18,2,0.13
18,3,0.03
18,4,0.00
18,5,0.07
18,6,0.30
18,7,-0.67
18,8,-1.50
18,9,0.07
18,10,-0.43
18,11,0.00
18,12,-0.27
18,13,0.10
18,14,0.27
18,15,0.13
18,16,0.70
18,17,0.43
18,18,0.50
18,19,0.37
18,20,0.47
18,21,-0.13
18,22,0.07
18,23,0.07
19,0,0.23
19,1,0.33
19,2,0.43
19,3,0.13
19,4,0.00
19,5,0.03
19,6,-0.10
19,7,-0.80
19,8,-0.03
19,9,-0.57
19,10,-0.10
19,11,0.03
19,12,-0.97
19,13,0.37
19,14,0.10
19,15,-0.07
19,16,0.10
19,17,0.50
19,18,0.90
19,19,0.30
19,20,0.90
19,21,0.20
19,22,0.27
19,23,0.27
20,0,0.23
20,1,-0.63
20,2,-0.27
20,3,0.07
20,4,0.00
20,5,-0.40
20,6,-0.20
20,7,0.13
20,8,-3.40
20,9,-0.30
20,10,0.23
20,11,0.20
20,12,0.43
20,13,-0.40
20,14,-1.10
20,15,-0.03
20,16,-0.13
20,17,1.97
20,18,1.57
20,19,0.20
20,20,0.07
20,21,0.17
20,22,0.20
20,23,0.60
21,0,0.13
21,1,-0.03
21,2,0.30
21,3,0.13
21,4,0.03
21,5,0.03
21,6,-0.10
21,7,0.17
21,8,1.97
21,9,2.17
21,10,-0.30
21,11,-1.57
21,12,-0.50
21,13,-0.60
21,14,0.30
21,15,-0.50
21,16,-0.37
21,17,-1.83
21,18,0.30
21,19,0.07
21,20,0.27
21,21,0.17
21,22,0.60
21,23,0.10
22,0,0.10
22,1,-0.07
22,2,-0.17
22,3,-0.33
22,4,-0.10
22,5,0.13
22,6,0.20
22,7,-1.87
22,8,4.43
22,9,4.03
22,10,0.70
22,11,0.87
22,12,-0.23
22,13,-0.03
22,14,1.10
22,15,1.23
22,16,3.30
22,17,-2.97
22,18,-4.53
22,19,-1.90
22,20,-1.13
22,21,-0.67
22,22,-1.00
22,23,-0.47
23,0,-0.30
23,1,-0.37
23,2,-0.37
23,3,0.00
23,4,0.40
23,5,0.13
23,6,0.40
23,7,1.57
23,8,1.23
23,9,2.00
23,10,0.20
23,11,-0.03
23,12,-1.33
23,13,-0.40
23,14,-0.40
23,15,-0.07
23,16,-1.87
23,17,-2.67
23,18,-1.63
23,19,-0.73
23,20,-0.47
23,21,0.37
23,22,-0.33
23,23,-0.27
24,0,-0.07
24,1,-0.43
24,2,0.00
24,3,0.07
24,4,0.00
24,5,0.00
24,6,0.13
24,7,0.30
24,8,4.70
24,9,1.47
24,10,-0.03
24,11,0.23
24,12,-0.13
24,13,0.40
24,14,0.27
24,15,-0.77
24,16,-1.47
24,17,-2.57
24,18,-1.43
24,19,0.40
24,20,-0.70
24,21,0.03
24,22,-0.57
24,23,-0.33
25,0,0.40
25,1,0.27
25,2,-0.03
25,3,0.10
25,4,0.13
25,5,-0.63
25,6,-1.37
25,7,-2.63
25,8,-4.63
25,9,-1.43
25,10,-0.47
25,11,-0.33
25,12,-0.40
25,13,0.00
25,14,0.60
25,15,0.27
25,16,0.30
25,17,1.93
